uid,sid,,,
1,1,,,
5,5,,,40328
5,5,,,
7,7,,,
7,8,,,
9,10,,,
12,15,,,
13,16,,,
12,18,,,
7,19,,,
12,13,,,
14,21,,,
7,22,,,
12,13,,,
12,13,,,
16,29,,,
16,29,,,
7,11,,,
7,33,,,
12,34,,,
7,37,,,
17,38,,,
17,39,,,
7,11,,,
7,11,,,
12,40,,,
5,41,,,
7,42,,,
12,7,,,
7,45,,,
7,43,,,
7,7,,,
7,46,,,
7,7,,,
7,13,,,
7,7,,,
12,50,,,
12,51,,,
7,53,,,
21,54,,,
22,11,,,
22,11,,,
22,11,,,
7,11,,,
7,57,,,
12,58,,,
12,22,,,
12,8,,,
7,60,,,
25,11,,,
25,11,,,
27,1,,,
28,62,,,
12,35,,,
29,64,,,
16,65,,,
7,66,,,
7,67,,,
30,68,,,
7,60,,,
12,40,,,
14,71,,,
7,11,,,
31,72,,,
7,11,,,
7,11,,,
21,74,,,
28,64,,,
7,77,,,
16,78,,,
12,13,,,
12,13,,,
12,13,,,
12,13,,,
7,59,,,
7,81,,,
7,11,,,
34,11,,,
35,85,,,
7,86,,,
7,69,,,
7,69,,,
7,69,,,
7,88,,,
7,93,,,
36,94,,,
7,11,,,
37,14,,,
37,14,,,
35,96,,,
7,99,,,
7,100,,,
36,10,,,
7,101,,,
38,20,,,
7,61,,,
7,46,,,
7,102,,,
7,103,,,
7,22,,,
7,104,,,
7,22,,,
7,105,,,
39,11,,,
7,59,,,
36,10,,,
40,107,,,
7,8,,,
7,109,,,
38,111,,,
7,112,,,
7,113,,,
7,114,,,
38,111,,,
7,59,,,
7,116,,,
44,64,,,
7,77,,,
7,11,,,
7,22,,,
45,117,,,
36,94,,,
36,94,,,
16,78,,,
7,46,,,
13,118,,,
16,119,,,
16,78,,,
16,78,,,
7,120,,,
16,78,,,
21,122,,,
7,33,,,
12,102,,,
46,127,,,
46,127,,,
46,128,,,
46,128,,,
47,128,,,
48,8,,,
7,129,,,
7,131,,,
49,60,,,
49,60,,,
49,60,,,
49,60,,,
49,60,,,
12,11,,,
50,13,,,
7,11,,,
12,102,,,
7,134,,,
12,135,,,
7,11,,,
12,55,,,
7,11,,,
7,115,,,
7,11,,,
7,11,,,
7,80,,,
7,80,,,
7,137,,,
52,138,,,
7,59,,,
53,139,,,
53,139,,,
53,139,,,
7,33,,,
7,33,,,
54,140,,,
55,142,,,
12,143,,,
56,144,,,
7,80,,,
58,10,,,
7,147,,,
59,148,,,
60,149,,,
61,22,,,
46,150,,,
12,18,,,
7,151,,,
62,60,,,
7,152,,,
7,84,,,
5,5,,,
7,153,,,
12,154,,,
7,155,,,
62,60,,,
7,155,,,
7,156,,,
62,60,,,
35,78,,,
7,158,,,
7,159,,,
46,128,,,
7,80,,,
7,160,,,
7,59,,,
16,38,,,
16,39,,,
16,144,,,
16,144,,,
36,10,,,
65,78,,,
66,167,,,
67,128,,,
68,119,,,
12,84,,,
70,170,,,
71,171,,,
72,13,,,
73,174,,,
71,175,,,
48,8,,,
40,164,,,
7,177,,,
7,129,,,
7,178,,,
7,11,,,
7,11,,,
7,11,,,
7,11,,,
12,179,,,
44,64,,,
44,181,,,
12,3,,,
7,55,,,
28,64,,,
46,128,,,
7,182,,,
60,64,,,
60,64,,,
60,64,,,
7,22,,,
7,182,,,
77,184,,,
21,122,,,
7,186,,,
7,187,,,
7,129,,,
7,188,,,
55,162,,,
54,189,,,
79,190,,,
7,191,,,
12,192,,,
7,194,,,
7,197,,,
7,11,,,
7,11,,,
7,33,,,
60,199,,,
46,128,,,
80,1,,,
80,1,,,
55,162,,,
81,46,,,
12,143,,,
46,128,,,
46,202,,,
70,23,,,
82,16,,,
7,204,,,
7,205,,,
46,128,,,
38,111,,,
13,16,,,
46,128,,,
14,207,,,
13,16,,,
25,11,,,
79,209,,,
46,128,,,
7,22,,,
16,210,,,
7,187,,,
7,212,,,
85,94,,,
7,215,,,
86,11,,,
7,7,,,
7,220,,,
7,221,,,
88,157,,,
88,157,,,
60,224,,,
89,11,,,
7,59,,,
7,223,,,
7,31,,,
7,225,,,
7,226,,,
7,227,,,
7,59,,,
7,46,,,
55,228,,,
